sampling_date,siteID,blockID,plotID,treatment,functional_group,family,abundance_per_g,count,dry_soil,abundance,comment
2022-08-23,Hogsete,Hog1,Hog1C,C,fungivorous,aphelenchoididae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,bastianiidae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,bunonematidae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,cephalobidae,0.7938080918534711,23,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,desmodoridae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,phytophagous,dolichodoridae,0.4141607435757241,12,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,omnivorous,dorylaimoidea,0.5522143247676321,16,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,phytophagous,ecphyadophoridae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,phytophagous,hoplolaimidae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,metateratocephalidae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,predaceous,mononchidae,0.17256697648988503,5,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,neodiplogasteridae,0.06902679059595401,2,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,phytophagous,paratylenchidae,0.06902679059595401,2,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,plectidae,0.7938080918534711,23,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,phytophagous,pratylenchidae,0.034513395297977006,1,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,prismatolaimidae,0.06902679059595401,2,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,rhabditidae,0.27610716238381605,8,28.9742574257426,294,NA
2022-08-23,Hogsete,Hog1,Hog1C,C,bacteriophagous,teratocephalidae,0.06902679059595401,2,28.9742574257426,294,NA
