"","siteID","blockID","treatment","plotID","burial_date","retrieval_date","litter_type","native_or_added","rel_weight_loss","mean_precip","mean_temp"
"1","Alrust","Alr1","B","Alr1B","2021-08-05","2022-08-24","forbs","native",0.61137,"700","8.5"
"2","Alrust","Alr1","B","Alr1B","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"3","Alrust","Alr1","B","Alr1B","2021-08-05","2022-08-24","graminoids","native",0.64156,"700","8.5"
"4","Alrust","Alr1","B","Alr1B","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"5","Alrust","Alr1","C","Alr1C","2021-08-05","2022-08-24","forbs","native",0.55902,"700","8.5"
"6","Alrust","Alr1","C","Alr1C","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"7","Alrust","Alr1","C","Alr1C","2021-08-05","2022-08-24","graminoids","native",0.64222,"700","8.5"
"8","Alrust","Alr1","C","Alr1C","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"9","Alrust","Alr1","F","Alr1F","2021-08-05","2022-08-24","forbs","native",0.27322,"700","8.5"
"10","Alrust","Alr1","F","Alr1F","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"11","Alrust","Alr1","F","Alr1F","2021-08-05","2022-08-24","graminoids","native",0.35154,"700","8.5"
"12","Alrust","Alr1","F","Alr1F","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"13","Alrust","Alr1","FB","Alr1FB","2021-08-05","2022-08-24","forbs","native",0.50899,"700","8.5"
"14","Alrust","Alr1","FB","Alr1FB","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"15","Alrust","Alr1","FB","Alr1FB","2021-08-05","2022-08-24","graminoids","native",0.57084,"700","8.5"
"16","Alrust","Alr1","FB","Alr1FB","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"17","Alrust","Alr1","FGB","Alr1FGB","2021-08-05","2022-08-24","forbs","native",0.19859,"700","8.5"
"18","Alrust","Alr1","FGB","Alr1FGB","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"19","Alrust","Alr1","FGB","Alr1FGB","2021-08-05","2022-08-24","graminoids","native",0.26613,"700","8.5"
"20","Alrust","Alr1","FGB","Alr1FGB","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"21","Alrust","Alr1","G","Alr1G","2021-08-05","2022-08-24","forbs","native",0.50138,"700","8.5"
"22","Alrust","Alr1","G","Alr1G","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"23","Alrust","Alr1","G","Alr1G","2021-08-05","2022-08-24","graminoids","native",0.7578,"700","8.5"
"24","Alrust","Alr1","G","Alr1G","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"25","Alrust","Alr1","GB","Alr1GB","2021-08-05","2022-08-24","forbs","native",0.34893,"700","8.5"
"26","Alrust","Alr1","GB","Alr1GB","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"27","Alrust","Alr1","GB","Alr1GB","2021-08-05","2022-08-24","graminoids","native",0.47076,"700","8.5"
"28","Alrust","Alr1","GB","Alr1GB","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"29","Alrust","Alr1","GF","Alr1GF","2021-08-05","2022-08-24","forbs","native",0.41786,"700","8.5"
"30","Alrust","Alr1","GF","Alr1GF","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"31","Alrust","Alr1","GF","Alr1GF","2021-08-05","2022-08-24","graminoids","native",0.47942,"700","8.5"
"32","Alrust","Alr1","GF","Alr1GF","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"33","Alrust","Alr2","B","Alr2B","2021-08-05","2022-08-24","forbs","native",0.63709,"700","8.5"
"34","Alrust","Alr2","B","Alr2B","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"35","Alrust","Alr2","B","Alr2B","2021-08-05","2022-08-24","graminoids","native",0.40217,"700","8.5"
"36","Alrust","Alr2","B","Alr2B","2021-08-05","2022-08-24","graminoids","added",NA,"700","8.5"
"37","Alrust","Alr2","C","Alr2C","2021-08-05","2022-08-24","forbs","native",0.48177,"700","8.5"
"38","Alrust","Alr2","C","Alr2C","2021-08-05","2022-08-24","forbs","added",NA,"700","8.5"
"39","Alrust","Alr2","C","Alr2C","2021-08-05","2022-08-24","graminoids","native",0.33643,"700","8.5"
